,prices,address,beds,links,baths,sq_feet
8,"$149,000","10 Old Turnpike Rd, Port Murray, NJ 07865",2, https://www.zillow.com/homedetails/10-Old-Turnpike-Rd-Port-Murray-NJ-07865/39508971_zpid/ ,1,--
0,"$7,500,000","85 Stewart Rd, Short Hills, NJ 07078",7, https://www.zillow.com/homedetails/85-Stewart-Rd-Short-Hills-NJ-07078/38678254_zpid/ ,9,--
1,"$210,000","340 S East Ave, Bridgeton, NJ 08302",3, https://www.zillow.com/homedetails/340-S-East-Ave-Bridgeton-NJ-08302/87963468_zpid/ ,3,"1,512"
2,"$149,900","115 E Kings Hwy UNIT 330, Maple Shade, NJ 08052",2, https://www.zillow.com/homedetails/115-E-Kings-Hwy-UNIT-330-Maple-Shade-NJ-08052/240018578_zpid/ ,1,"1,136"
3,"$339,900","7 Beachview Ct, Stockholm, NJ 07460",3, https://www.zillow.com/homedetails/7-Beachview-Ct-Stockholm-NJ-07460/39936815_zpid/ ,2,--
4,"$349,000","83 Cresci Blvd, Hazlet, NJ 07730",3, https://www.zillow.com/homedetails/83-Cresci-Blvd-Hazlet-NJ-07730/39255475_zpid/ ,2,--
5,"$250,000","18 Manor House Dr, Trenton, NJ 08638",4, https://www.zillow.com/homedetails/18-Manor-House-Dr-Trenton-NJ-08638/2067031816_zpid/ ,2,"1,696"
6,"$799,000","29 Church St, Rumson, NJ 07760",4, https://www.zillow.com/homedetails/29-Church-St-Rumson-NJ-07760/39364163_zpid/ ,2,--
7,"$549,000","2 Cleveland Rd W, Princeton, NJ 08540",4, https://www.zillow.com/homedetails/2-Cleveland-Rd-W-Princeton-NJ-08540/2069990815_zpid/ ,2,--
8,"$230,000","101 Archertown Rd, New Egypt, NJ 08533",2, https://www.zillow.com/homedetails/101-Archertown-Rd-New-Egypt-NJ-08533/39683116_zpid/ ,2,"1,006"
0,"$229,000","73D Leland Ave #D, Plainfield, NJ 07062",2, https://www.zillow.com/homedetails/73D-Leland-Ave-D-Plainfield-NJ-07062/2076730516_zpid/ ,2,--
1,"$819,000","173 Hardenburgh Ave, Demarest, NJ 07627",3, https://www.zillow.com/homedetails/173-Hardenburgh-Ave-Demarest-NJ-07627/37869883_zpid/ ,2,--
2,"$425,000","127 Violet Dr, Egg Harbor Township, NJ 08234",3, https://www.zillow.com/homedetails/127-Violet-Dr-Egg-Harbor-Township-NJ-08234/124178758_zpid/ ,3,--
3,"$399,000","18 Wellington Pl, Monroe Township, NJ 08831",4, https://www.zillow.com/homedetails/18-Wellington-Pl-Monroe-Township-NJ-08831/55547685_zpid/ ,3,"2,585"
4,"$399,900","81 Vliet St, Spotswood, NJ 08884",3, https://www.zillow.com/homedetails/81-Vliet-St-Spotswood-NJ-08884/39188276_zpid/ ,2,"1,536"
5,"$415,000","66 Ellsworth Ct, Red Bank, NJ 07701",2, https://www.zillow.com/homedetails/66-Ellsworth-Ct-Red-Bank-NJ-07701/39334569_zpid/ ,2,--
6,"$499,000","127 Hoover Ave, Edison, NJ 08837",4, https://www.zillow.com/homedetails/127-Hoover-Ave-Edison-NJ-08837/39077882_zpid/ ,2,"1,666"
7,"$305,000","1616 McCarty Ave, Williamstown, NJ 08094",4, https://www.zillow.com/homedetails/1616-McCarty-Ave-Williamstown-NJ-08094/38790703_zpid/ ,3,"1,825"
8,"$369,000","6 Box Turtle Ln, Sicklerville, NJ 08081",5, https://www.zillow.com/homedetails/6-Box-Turtle-Ln-Sicklerville-NJ-08081/71834729_zpid/ ,4,--
